"","State","CountyName","TotalFIPS","County.Name","ZIP.Code"
"1","NY","Albany County","36001","Albany",12046
"2","NY","Albany County","36001","Albany",12083
"3","NY","Albany County","36001","Albany",12085
"4","NY","Albany County","36001","Albany",12201
"5","NY","Albany County","36001","Albany",12203
"6","NY","Albany County","36001","Albany",12055
"7","NY","Albany County","36001","Albany",12204
"8","NY","Albany County","36001","Albany",12023
"9","NY","Albany County","36001","Albany",12087
"10","NY","Albany County","36001","Albany",12205
"11","NY","Albany County","36001","Albany",12110
"12","NY","Albany County","36001","Albany",12009
"13","NY","Albany County","36001","Albany",12202
"14","NY","Albany County","36001","Albany",12189
"15","NY","Albany County","36001","Albany",12053
"16","NY","Albany County","36001","Albany",12159
"17","NY","Albany County","36001","Albany",12054
"18","NY","Albany County","36001","Albany",12084
"19","NY","Albany County","36001","Albany",12045
"20","NY","Albany County","36001","Albany",12229
"21","NY","Albany County","36001","Albany",12230
"22","NY","Albany County","36001","Albany",12243
"23","NY","Albany County","36001","Albany",12248
"24","NY","Albany County","36001","Albany",12239
"25","NY","Albany County","36001","Albany",12227
"26","NY","Albany County","36001","Albany",12238
"27","NY","Albany County","36001","Albany",12208
"28","NY","Albany County","36001","Albany",12222
"29","NY","Albany County","36001","Albany",12245
"30","NY","Albany County","36001","Albany",12246
"31","NY","Albany County","36001","Albany",12240
"32","NY","Albany County","36001","Albany",12233
"33","NY","Albany County","36001","Albany",12210
"34","NY","Albany County","36001","Albany",12241
"35","NY","Albany County","36001","Albany",12236
"36","NY","Albany County","36001","Albany",12224
"37","NY","Albany County","36001","Albany",12469
"38","NY","Albany County","36001","Albany",12306
"39","NY","Albany County","36001","Albany",12309
"40","NY","Albany County","36001","Albany",12261
"41","NY","Albany County","36001","Albany",12255
"42","NY","Albany County","36001","Albany",12257
"43","NY","Albany County","36001","Albany",12460
"44","NY","Albany County","36001","Albany",12304
"45","NY","Albany County","36001","Albany",12288
"46","NY","Albany County","36001","Albany",12260
"47","NY","Albany County","36001","Albany",12059
"48","NY","Albany County","36001","Albany",12067
"49","NY","Albany County","36001","Albany",12250
"50","NY","Albany County","36001","Albany",12244
"51","NY","Albany County","36001","Albany",12223
"52","NY","Albany County","36001","Albany",12232
"53","NY","Albany County","36001","Albany",12242
"54","NY","Albany County","36001","Albany",12007
"55","NY","Albany County","36001","Albany",12186
"56","NY","Albany County","36001","Albany",12247
"57","NY","Albany County","36001","Albany",12235
"58","NY","Albany County","36001","Albany",12128
"59","NY","Albany County","36001","Albany",12207
"60","NY","Albany County","36001","Albany",12303
"61","NY","Albany County","36001","Albany",12209
"62","NY","Albany County","36001","Albany",12249
"63","NY","Albany County","36001","Albany",12228
"64","NY","Albany County","36001","Albany",12193
"65","NY","Albany County","36001","Albany",12143
"66","NY","Albany County","36001","Albany",12120
"67","NY","Albany County","36001","Albany",12212
"68","NY","Albany County","36001","Albany",12158
"69","NY","Albany County","36001","Albany",12047
"70","NY","Albany County","36001","Albany",12206
"71","NY","Albany County","36001","Albany",12107
"72","NY","Albany County","36001","Albany",12231
"73","NY","Albany County","36001","Albany",12220
"74","NY","Albany County","36001","Albany",12226
"75","NY","Albany County","36001","Albany",12237
"76","NY","Albany County","36001","Albany",12256
"77","NY","Albany County","36001","Albany",12252
